job.title,company.name,job.type,job.skills,job.posted,company.location,city,country
Data Analysis & Operation Control Supervisor,Sky logistics -,Full Time,Experienced,22 days ago,Sheikh Zayed, Giza, Egypt
Data Analysis Instructor,Zero Grad -,Freelance / ProjectWork From Home,Experienced,27 days ago,Cairo, Egypt,Not Specefied
Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI -,Full TimePart TimeFreelance / Project,Entry Level,1 month ago,Nasr City, Cairo, Egypt
Data Analyst,Safa International Travel -,Full Time,Experienced,5 days ago,Dokki, Giza, Egypt
Data Analyst,ITCan -,Full Time,Experienced,4 days ago,New Cairo, Cairo, Egypt
Data Analyst,London International Patient Services -,Full Time,Entry Level,4 days ago,Sheraton, Cairo, Egypt
Senior Data Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,Full Time,Experienced,11 days ago,Smart Village, Giza, Egypt
Digital Data Reviewer,Arabian Systems -,Full Time,Entry Level,13 days ago,New Cairo, Cairo, Egypt
Data Analyst,Othaim -,Full Time,Experienced,13 days ago,Katameya, Cairo, Egypt
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,Full Time,Experienced,25 days ago,Zamalek, Cairo, Egypt
Data Scientist Manager,Tamweely -,Full Time,Manager,26 days ago,Shubra, Cairo, Egypt
Financial Planning & Analysis Section Head,Confidential -,Full Time,Experienced,2 days ago,Mohandessin, Giza, Egypt
Senior Financial Planning and Analysis,Sky Holding -,Full Time,Experienced,13 days ago,Maadi, Cairo, Egypt
Financial Planning & Analysis (FP&A) Analyst,Confidential -,Full Time,Experienced,16 days ago,Heliopolis, Cairo, Egypt
Senior Data Management Engineer,Ejada  -,Full Time,Experienced,4 days ago,Cairo, Egypt,Not Specefied
